Timestamp,Full Name,College Name/ School Name,Department/Class,Semster/Section,Course,Hours spent,Date of Enrollment
26/04/2026 03:51:31,Isabella Rodriguez,Business Academy,Mechanical Engineering,"Semester 4, Sec C",Digital Marketing,24,18/09/2025
21/04/2026 01:41:44,Mason Jones,State University,Arts & Humanities,"Semester 4, Sec C",Advanced Calculus,8,25/11/2025
21/04/2026 12:25:19,Emma Miller,Global Polytechnic,Mechanical Engineering,"Semester 1, Sec A",Digital Marketing,51,07/02/2026
06/04/2026 12:16:28,James Garcia,State University,Business Administration,"Semester 2, Sec B",Physics I,37,29/05/2025
30/04/2026 02:05:47,Isabella Davis,Institute of Sciences,Business Administration,"Semester 2, Sec B",Database Management,36,24/07/2025
14/04/2026 09:20:40,Ava Williams,College of Technology,Business Administration,"Semester 3, Sec A",Physics I,3,06/09/2025
21/04/2026 08:07:07,Isabella Davis,State University,Business Administration,"Semester 2, Sec B",Database Management,22,25/09/2025
26/04/2026 18:40:32,Sophia Williams,State University,Data Science,"Semester 3, Sec A",Advanced Calculus,45,06/03/2026
26/04/2026 06:46:55,Olivia Jones,Business Academy,Mechanical Engineering,"Semester 4, Sec C",Digital Marketing,59,18/12/2025
10/04/2026 23:21:49,Mason Davis,Global Polytechnic,Computer Science,"Semester 3, Sec A",Introduction to Programming,3,25/05/2025
10/04/2026 23:18:13,William Davis,Institute of Sciences,Mechanical Engineering,"Semester 1, Sec A",Introduction to Programming,34,06/05/2025
26/04/2026 14:51:41,Liam Rodriguez,Institute of Sciences,Mechanical Engineering,"Semester 2, Sec B",Introduction to Programming,17,10/08/2025
23/04/2026 08:12:38,Noah Garcia,College of Technology,Business Administration,"Semester 3, Sec A",Introduction to Programming,7,04/12/2025
01/05/2026 05:30:10,Sophia Johnson,College of Technology,Arts & Humanities,"Semester 2, Sec B",Digital Marketing,28,21/09/2025
05/04/2026 12:11:21,Ava Jones,Institute of Sciences,Business Administration,"Semester 1, Sec A",Database Management,15,05/05/2025
23/04/2026 07:34:41,Liam Johnson,State University,Business Administration,"Semester 2, Sec B",Advanced Calculus,17,08/03/2026
04/04/2026 00:44:04,Liam Johnson,College of Technology,Arts & Humanities,"Semester 1, Sec A",Introduction to Programming,47,31/10/2025
28/04/2026 04:19:07,Emma Rodriguez,State University,Computer Science,"Semester 2, Sec B",Digital Marketing,35,30/05/2025
17/04/2026 12:19:32,Mason Martinez,Global Polytechnic,Mechanical Engineering,"Semester 1, Sec A",Introduction to Programming,22,01/04/2026
22/04/2026 14:34:08,Olivia Davis,Institute of Sciences,Mechanical Engineering,"Semester 1, Sec A",Advanced Calculus,40,22/08/2025
16/04/2026 18:32:58,William Williams,College of Technology,Business Administration,"Semester 4, Sec C",Database Management,44,14/07/2025
18/04/2026 03:09:37,William Smith,College of Technology,Data Science,"Semester 2, Sec B",Physics I,10,08/02/2026
15/04/2026 23:05:09,Ava Davis,College of Technology,Mechanical Engineering,"Semester 3, Sec A",Database Management,15,30/04/2026
24/04/2026 01:29:26,Liam Jones,Global Polytechnic,Computer Science,"Semester 1, Sec A",Advanced Calculus,55,31/08/2025
02/04/2026 05:55:48,William Brown,State University,Arts & Humanities,"Semester 3, Sec A",Digital Marketing,24,06/09/2025
30/04/2026 05:38:52,Mason Martinez,Global Polytechnic,Data Science,"Semester 3, Sec A",Digital Marketing,8,12/09/2025
16/04/2026 17:39:54,Emma Williams,Global Polytechnic,Data Science,"Semester 1, Sec A",Digital Marketing,51,02/06/2025
04/04/2026 23:28:40,Olivia Rodriguez,Global Polytechnic,Mechanical Engineering,"Semester 2, Sec B",Advanced Calculus,32,18/12/2025
11/04/2026 09:32:37,Ava Williams,College of Technology,Computer Science,"Semester 2, Sec B",Advanced Calculus,9,25/11/2025
05/04/2026 22:11:12,Olivia Williams,Business Academy,Data Science,"Semester 1, Sec A",Database Management,30,11/04/2026
20/04/2026 21:38:22,James Miller,Institute of Sciences,Mechanical Engineering,"Semester 2, Sec B",Physics I,22,04/02/2026
30/04/2026 20:42:02,Sophia Johnson,Business Academy,Mechanical Engineering,"Semester 2, Sec B",Digital Marketing,4,26/01/2026
17/04/2026 19:51:16,Noah Garcia,Global Polytechnic,Arts & Humanities,"Semester 1, Sec A",Digital Marketing,30,27/08/2025
26/04/2026 09:01:36,Liam Rodriguez,College of Technology,Business Administration,"Semester 3, Sec A",Digital Marketing,20,24/05/2025
17/04/2026 17:04:00,Emma Miller,Institute of Sciences,Computer Science,"Semester 2, Sec B",Introduction to Programming,56,27/03/2026
